delay,freq,condition,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,,,,
0.1,1000,exp,300,1,[8.08227060000354],[8.082278500005486],1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,500,2,"[8.08227060000354, 3.583281100000022]","[8.082278500005486, 3.58328769999207]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,1000,exp,400,3,"[8.08227060000354, 3.583281100000022, 3.6644037999940338]","[8.082278500005486, 3.58328769999207, 3.6644101999991108]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,600,5,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,500,6,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,200,7,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,600,9,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,400,11,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,1000,exp,100,12,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,1000,exp,200,13,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,300,14,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,1000,exp,400,15,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,700,17,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446, 4.549227099996642, 2.7038813999970444]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077, 4.54923369998869, 2.703889899989008]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,500,18,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446, 4.549227099996642, 2.7038813999970444, 3.877082299994072]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077, 4.54923369998869, 2.703889899989008, 3.877087599990773]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,700,20,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446, 4.549227099996642, 2.7038813999970444, 3.877082299994072, 2.8328493000008166, 3.3533548999985214]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077, 4.54923369998869, 2.703889899989008, 3.877087599990773, 2.8328552000020863, 3.353366499999538]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,200,22,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446, 4.549227099996642, 2.7038813999970444, 3.877082299994072, 2.8328493000008166, 3.3533548999985214, 5.698302200005855, 3.532624300001771]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077, 4.54923369998869, 2.703889899989008, 3.877087599990773, 2.8328552000020863, 3.353366499999538, 5.698307300001034, 3.5326283000031253]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,400,unexp,200,4,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,400,unexp,200,8,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,400,unexp,200,10,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,expected delay,0.41875
0.7,400,unexp,600,16,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446, 4.549227099996642]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077, 4.54923369998869]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,exected delay reported,412.5
0.4,400,unexp,500,19,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446, 4.549227099996642, 2.7038813999970444, 3.877082299994072, 2.8328493000008166]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077, 4.54923369998869, 2.703889899989008, 3.877087599990773, 2.8328552000020863]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,400,unexp,100,21,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857, 3.281640899993363, 3.5120607999997446, 4.549227099996642, 2.7038813999970444, 3.877082299994072, 2.8328493000008166, 3.3533548999985214, 5.698302200005855]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712, 3.281651099998271, 3.512067699994077, 4.54923369998869, 2.703889899989008, 3.877087599990773, 2.8328552000020863, 3.353366499999538, 5.698307300001034]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,unexpected delay,0.4
,,,,,,,,,,,,,,,unexpected delay reported,300
